"1_A4-format;A4-format;A4-format;;substantiv intetkøn;noun;A4 format;A4 format;;;;"
"1_avle;avle;avler;;verbum nutid;verb present 3rd person singular;raise;raises;;;;"
"1_avle;avle;avler;;verbum nutid;verb present non 3rd person;raise;raise;;;;"
"1_avlstyr;avlstyr;avlstyr;;substantiv fælleskøn;noun;breeding bull;breeding bull;;;;"
"1_avocado;avocado;avocado;;substantiv fælleskøn;noun;avocado;avocado;;;;"
"1_avocado;avocado;avocadoerne;;substantiv fælleskøn flertal bestemt;noun plural definite;avocado;the avocados;;;;"
"1_avocado;avocado;avocadoer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;avocado;avocados;;;;"
"1_avocado;avocado;avocadoen;;substantiv fælleskøn ental bestemt;noun singular definite;avocado;the avocado;;;;"
"1_Azorerne;Azorerne;Azorerne;;substantiv flertal;noun;Azores;Azores;;;;"
1_aztekisk;aztekisk;aztekisk;;adjektiv;adjective;Aztec;Aztec;;;;
"1_aztekisk;aztekisk;aztekiske;;adjektiv flertal;adjective plural;Aztec;Aztec;;;;"
"1_aztekisk;aztekisk;aztekisk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;Aztec;Aztec;;;;"
"1_aztekisk;aztekisk;aztekisk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;Aztec;Aztec;;;;"
"1_aztekisk;aztekisk;aztekiske;;adjektiv ental bestemt;adjective singular definite;Aztec;the Aztec;;;;"
"1_baby;baby;baby;;substantiv fælleskøn;noun;baby;baby;;Denne baby er et halvt år gammel.;This baby is half a year old.;"
"1_baby;baby;babyerne;;substantiv fælleskøn flertal bestemt;noun plural definite;baby;the babies;;Denne baby er et halvt år gammel.;This baby is half a year old.;"
"1_baby;baby;babyer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;baby;babies;;Denne baby er et halvt år gammel.;This baby is half a year old.;"
"1_baby;baby;babyen;;substantiv fælleskøn ental bestemt;noun singular definite;baby;the baby;;Denne baby er et halvt år gammel.;This baby is half a year old.;"
"1_babyalarm;babyalarm;babyalarm;;substantiv;noun;baby alarm;baby alarm;;;;"
"1_babyalarm;babyalarm;babyalarm;;substantiv fælleskøn;noun;baby monitor;baby monitor;;;;"
"1_babyble;babyble;babyble;;substantiv;noun;baby diaper;baby diaper;;;;"
1_babyblå;babyblå;babyblå;;adjektiv;adjective;baby-blue;baby-blue;;;;
"1_babyboom;babyboom;babyboom;;substantiv intetkøn;noun;baby boom;baby boom;;;;"
"1_babyboom;babyboom;babyboomene;;substantiv intetkøn flertal bestemt;noun plural definite;baby boom;the baby booms;;;;"
"1_babyboom;babyboom;babyboom;;substantiv intetkøn flertal ubestemt;noun plural indefinite;baby boom;baby booms;;;;"
"1_babyboom;babyboom;babyboomet;;substantiv intetkøn ental bestemt;noun singular definite;baby boom;the baby boom;;;;"
"1_babydukke;babydukke;babydukke;;substantiv;noun;baby doll;baby doll;;;;"
"1_babylem;babylem;babylem;;substantiv fælleskøn;noun;baby hatch;baby hatch;;;;"
"1_babylonier;babylonier;babylonier;;substantiv fælleskøn;noun;Babylonian;Babylonian;;;;"
"1_babylonier;babylonier;babylonierne;;substantiv fælleskøn flertal bestemt;noun plural definite;Babylonian;the Babylonians;;;;"
"1_babylonier;babylonier;babyloniere;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;Babylonian;Babylonians;;;;"
"1_babylonier;babylonier;babylonieren;;substantiv fælleskøn ental bestemt;noun singular definite;Babylonian;the Babylonian;;;;"
1_babylonisk;babylonisk;babylonisk;;adjektiv;adjective;Babylonian;Babylonian;;;;
"1_babylonisk;babylonisk;babyloniske;;adjektiv flertal;adjective plural;Babylonian;Babylonian;;;;"
"1_babylonisk;babylonisk;babylonisk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;Babylonian;Babylonian;;;;"
"1_babylonisk;babylonisk;babylonisk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;Babylonian;Babylonian;;;;"
"1_babylonisk;babylonisk;babylonisk;;substantiv intetkøn;noun;Babylonian;Babylonian;;;;"
"1_babylonisk;babylonisk;babyloniske;;adjektiv ental bestemt;adjective singular definite;Babylonian;the Babylonian;;;;"
1_babylonsk;babylonsk;babylonsk;;adjektiv;adjective;Babylonian;Babylonian;;;;
"1_babylonsk;babylonsk;babylonske;;adjektiv flertal;adjective plural;Babylonian;Babylonian;;;;"
"1_babylonsk;babylonsk;babylonsk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;Babylonian;Babylonian;;;;"
"1_babylonsk;babylonsk;babylonsk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;Babylonian;Babylonian;;;;"
"1_babylonsk;babylonsk;babylonsk;;substantiv intetkøn;noun;Babylonian;Babylonian;;;;"
"1_babylonsk;babylonsk;babylonske;;adjektiv ental bestemt;adjective singular definite;Babylonian;the Babylonian;;;;"
"1_babymad;babymad;babymad;;substantiv;noun;baby food;baby food;;;;"
"1_babymajs;babymajs;babymajs;;substantiv;noun;baby corn;baby corn;;;;"
"1_babymajs;babymajs;babymajsene;;substantiv fælleskøn flertal bestemt;noun plural definite;baby corn;the baby corns;;;;"
"1_babymajs;babymajs;babymajs;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;baby corn;baby corns;;;;"
"1_babymajs;babymajs;babymajsen;;substantiv fælleskøn ental bestemt;noun singular definite;baby corn;the baby corn;;;;"
"1_babypudder;babypudder;babypudder;;substantiv intetkøn;noun;baby powder;baby powder;;;;"
1_babysitte;babysitte;babysitte;;verbum;verb;babysit;babysit;;;;
"1_babysitter;babysitter;babysitter;;substantiv fælleskøn;noun;babysitter;babysitter;;Har I stadig brug for en babysitter for mandag aften?;Do you still need a babysitter for Monday night?;"
