"1_A4-format;A4-format;A4-format;;substantiv intetkøn;noun;A4 format;A4 format;;;;"
"1_babysitter;babysitter;babysitterne;;substantiv fælleskøn flertal bestemt;noun plural definite;babysitter;the baby-sitters;;Har I stadig brug for en babysitter for mandag aften?;Do you still need a babysitter for Monday night?;"
"1_babysitter;babysitter;babysittere;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;babysitter;baby-sitters;;Har I stadig brug for en babysitter for mandag aften?;Do you still need a babysitter for Monday night?;"
"1_babysitter;babysitter;babysitteren;;substantiv fælleskøn ental bestemt;noun singular definite;babysitter;the baby-sitter;;Har I stadig brug for en babysitter for mandag aften?;Do you still need a babysitter for Monday night?;"
"1_babysitting;babysitting;babysitting;;substantiv fælleskøn;noun;babysitting;babysitting;;;;"
"1_babysitting;babysitting;babysittingen;;substantiv fælleskøn ental bestemt;noun singular definite;babysitting;the baby-sitting;;;;"
"1_babysvømning;babysvømning;babysvømning;;substantiv fælleskøn;noun;baby swimming;baby swimming;;;;"
"1_babytøj;babytøj;babytøj;;substantiv intetkøn;noun plural;baby clothes;baby clothes;;;;"
"1_babytøj;babytøj;babytøj;;substantiv intetkøn;noun;babywear;babywear;;;;"
"1_bachelor;bachelor;bachelor;;substantiv fælleskøn;noun;bachelor;bachelor;;;;"
"1_bachelor;bachelor;bachelorerne;;substantiv fælleskøn flertal bestemt;noun plural definite;bachelor;the bachelors;;;;"
"1_bachelor;bachelor;bachelorer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;bachelor;bachelors;;;;"
"1_bachelor;bachelor;bacheloren;;substantiv fælleskøn ental bestemt;noun singular definite;bachelor;the bachelor;;;;"
"1_bachelorgrad;bachelorgrad;bachelorgrad;;substantiv fælleskøn;noun;bachelor's degree;bachelor's degree;;;;"
"1_bacille;bacille;bacille;;substantiv fælleskøn;noun;bacillus;bacillus;;;;"
"1_bacille;bacille;bacillerne;;substantiv fælleskøn flertal bestemt;noun plural definite;bacillus;the bacilli;;;;"
"1_bacille;bacille;baciller;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;bacillus;bacilli;;;;"
"1_bacille;bacille;bacillen;;substantiv fælleskøn ental bestemt;noun singular definite;bacillus;the bacillus;;;;"
"1_backgammon;backgammon;backgammon;;substantiv intetkøn;noun;backgammon;backgammon;;Jeg spiller ikke backgammon så ofte som jeg plejede.;I don't play backgammon as often as I used to.;"
"1_backgammon;backgammon;backgammonet;;substantiv intetkøn ental bestemt;noun singular definite;backgammon;the backgammon;;Jeg spiller ikke backgammon så ofte som jeg plejede.;I don't play backgammon as often as I used to.;"
"1_bacon;bacon;bacon;;substantiv;noun;bacon;bacon;;Kunne du tænke dig at få røræg og bacon?;What would you say to scrambled eggs and bacon?;"
"1_bacon;bacon;baconen;;substantiv fælleskøn ental bestemt;noun singular definite;bacon;the bacon;;Kunne du tænke dig at få røræg og bacon?;What would you say to scrambled eggs and bacon?;"
"1_bacon;bacon;baconet;;substantiv intetkøn ental bestemt;noun singular definite;bacon;the bacon;;Kunne du tænke dig at få røræg og bacon?;What would you say to scrambled eggs and bacon?;"
"1_bad;bad;bad;;substantiv intetkøn;noun;bath;bath;;Hvor mange gange tager du bad om ugen?;How often a week do you take a bath?;"
"1_bad;bad;badene;;substantiv intetkøn flertal bestemt;noun plural definite;bath;the baths;;Hvor mange gange tager du bad om ugen?;How often a week do you take a bath?;"
"1_bad;bad;bade;;substantiv intetkøn flertal ubestemt;noun plural indefinite;bath;baths;;Hvor mange gange tager du bad om ugen?;How often a week do you take a bath?;"
"1_bad;bad;badet;;substantiv intetkøn ental bestemt;noun singular definite;bath;the bath;;Hvor mange gange tager du bad om ugen?;How often a week do you take a bath?;"
"1_bad;bad;bad;;substantiv intetkøn;noun;bathroom;bathroom;;Hvert værelse har eget bad.;Each room has its own bathroom.;"
"1_bad;bad;badene;;substantiv intetkøn flertal bestemt;noun plural definite;bathroom;the bathrooms;;Hvert værelse har eget bad.;Each room has its own bathroom.;"
"1_bad;bad;bade;;substantiv intetkøn flertal ubestemt;noun plural indefinite;bathroom;bathrooms;;Hvert værelse har eget bad.;Each room has its own bathroom.;"
"1_bad;bad;badet;;substantiv intetkøn ental bestemt;noun singular definite;bathroom;the bathroom;;Hvert værelse har eget bad.;Each room has its own bathroom.;"
"1_bade;bade;bade;;verbum;verb;bathe;bathe;;Det er farligt at bade i denne flod.;It is dangerous to bathe in this river.;"
"1_bade;bade;badede;;verbum datid;verb past tense;bathe;bathed;;Det er farligt at bade i denne flod.;It is dangerous to bathe in this river.;"
"1_bade;bade;bader;;verbum nutid;verb present 3rd person singular;bathe;bathes;;Det er farligt at bade i denne flod.;It is dangerous to bathe in this river.;"
"1_bade;bade;bader;;verbum nutid;verb present non 3rd person;bathe;bathe;;Det er farligt at bade i denne flod.;It is dangerous to bathe in this river.;"
"1_badeanstalt;badeanstalt;badeanstalt;;substantiv fælleskøn;noun plural;public baths;public baths;;;;"
"1_badebukser;badebukser;badebukser;;substantiv;noun;swimming trunks;swimming trunks;;;;"
"1_badedragt;badedragt;badedragt;amerikansk;substantiv fælleskøn;noun;bathing suit;bathing suit;american;Har du en badedragt?;Do you have a bathing suit?;"
"1_badedragt;badedragt;badedragt;;substantiv;noun;bathing suit;bathing suit;;Har du en badedragt?;Do you have a bathing suit?;"
"1_badedragt;badedragt;badedragterne;;substantiv fælleskøn flertal bestemt;noun plural definite;bathing suit;the bathing costumes;;Har du en badedragt?;Do you have a bathing suit?;"
"1_badedragt;badedragt;badedragter;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;bathing suit;bathing costumes;;Har du en badedragt?;Do you have a bathing suit?;"
"1_badedragt;badedragt;badedragten;;substantiv fælleskøn ental bestemt;noun singular definite;bathing suit;the bathing costume;;Har du en badedragt?;Do you have a bathing suit?;"
"1_badedragt;badedragt;badedragt;britisk;substantiv fælleskøn;noun;swimming costume;swimming costume;british;;;"
"1_badedragt;badedragt;badedragterne;;substantiv fælleskøn flertal bestemt;noun plural definite;swimming costume;the swimming costumes;;;;"
"1_badedragt;badedragt;badedragter;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;swimming costume;swimming costumes;;;;"
"1_badedragt;badedragt;badedragten;;substantiv fælleskøn ental bestemt;noun singular definite;swimming costume;the swimming costume;;;;"
"1_badedragt;badedragt;badedragt;;substantiv fælleskøn;noun;swimsuit;swimsuit;;;;"
"1_badedragt;badedragt;badedragterne;;substantiv fælleskøn flertal bestemt;noun plural definite;swimsuit;the swimsuits;;;;"
"1_badedragt;badedragt;badedragter;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;swimsuit;swimsuits;;;;"
"1_badedragt;badedragt;badedragten;;substantiv fælleskøn ental bestemt;noun singular definite;swimsuit;the swimsuit;;;;"
"1_badekar;badekar;badekar;;substantiv intetkøn;noun;bath;bath;;;;"
"1_badekar;badekar;badekarrene;;substantiv intetkøn flertal bestemt;noun plural definite;bath;the baths;;;;"
"1_badekar;badekar;badekar;;substantiv intetkøn flertal ubestemt;noun plural indefinite;bath;baths;;;;"
"1_badekar;badekar;badekarret;;substantiv intetkøn ental bestemt;noun singular definite;bath;the bath;;;;"
"1_badekar;badekar;badekar;;substantiv intetkøn;noun;bathtub;bathtub;;Jeg lukkede vandet ud af badekarret.;I let the water out of the bathtub.;"
"1_badekar;badekar;badekarrene;;substantiv intetkøn flertal bestemt;noun plural definite;bathtub;the bathtubs;;Jeg lukkede vandet ud af badekarret.;I let the water out of the bathtub.;"
"1_badekar;badekar;badekar;;substantiv intetkøn flertal ubestemt;noun plural indefinite;bathtub;bathtubs;;Jeg lukkede vandet ud af badekarret.;I let the water out of the bathtub.;"
"1_badekar;badekar;badekarret;;substantiv intetkøn ental bestemt;noun singular definite;bathtub;the bathtub;;Jeg lukkede vandet ud af badekarret.;I let the water out of the bathtub.;"
"1_badekåbe;badekåbe;badekåbe;;substantiv fælleskøn;noun;bathrobe;bathrobe;;;;"
"1_badekåbe;badekåbe;badekåberne;;substantiv fælleskøn flertal bestemt;noun plural definite;bathrobe;the bathrobes;;;;"
"1_badekåbe;badekåbe;badekåber;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;bathrobe;bathrobes;;;;"
"1_badekåbe;badekåbe;badekåben;;substantiv fælleskøn ental bestemt;noun singular definite;bathrobe;the bathrobe;;;;"
"1_bademester;bademester;bademester;;substantiv fælleskøn;noun;bath attendant;bath attendant;;;;"
"1_baderum;baderum;baderum;;substantiv intetkøn;noun;bathroom;bathroom;;;;"
"1_badeværelse;badeværelse;badeværelse;;substantiv intetkøn;noun;bathroom;bathroom;;Der var intet badeværelse.;There was no bathroom.;"
"1_badeværelse;badeværelse;badeværelserne;;substantiv intetkøn flertal bestemt;noun plural definite;bathroom;the bathrooms;;Der var intet badeværelse.;There was no bathroom.;"
"1_badeværelse;badeværelse;badeværelser;;substantiv intetkøn flertal ubestemt;noun plural indefinite;bathroom;bathrooms;;Der var intet badeværelse.;There was no bathroom.;"
"1_badeværelse;badeværelse;badeværelset;;substantiv intetkøn ental bestemt;noun singular definite;bathroom;the bathroom;;Der var intet badeværelse.;There was no bathroom.;"
"1_badmintonketsjer;badmintonketsjer;badmintonketsjer;;substantiv fælleskøn;noun;badminton racket;badminton racket;;;;"
"1_badmintonspiller;badmintonspiller;badmintonspiller;;substantiv;noun;badminton player;badminton player;;;;"
"1_bag;bag;bag;;præposition;preposition;behind;behind;;Jeg er lige bag dig.;I'm right behind you.;"
"1_bag_ved;bag ved;bag ved;;adverbium;adverb;behind;behind;;;;"
"1_bagage;bagage;bagage;;substantiv;noun;baggage;baggage;;Her er min bagage.;Here is my baggage.;"
"1_bagage;bagage;bagagen;;substantiv fælleskøn ental bestemt;noun singular definite;baggage;the baggage;;Her er min bagage.;Here is my baggage.;"
"1_bagage;bagage;bagage;;substantiv fælleskøn;noun;luggage;luggage;;Jeg kan ikke lide at rejse med masser af bagage.;I don't like traveling with lots of luggage.;"
"1_bagage;bagage;bagagen;;substantiv fælleskøn ental bestemt;noun singular definite;luggage;the luggage;;Jeg kan ikke lide at rejse med masser af bagage.;I don't like traveling with lots of luggage.;"
"1_bagagerum;bagagerum;bagagerum;britisk;substantiv intetkøn;noun;boot;boot;british;;;"
"1_bagagerum;bagagerum;bagagerummene;;substantiv intetkøn flertal bestemt;noun plural definite;boot;the boots;;;;"
"1_bagagerum;bagagerum;bagagerum;;substantiv intetkøn flertal ubestemt;noun plural indefinite;boot;boots;;;;"
"1_bagagerum;bagagerum;bagagerummet;;substantiv intetkøn ental bestemt;noun singular definite;boot;the boot;;;;"
"1_bagagerum;bagagerum;bagagerum;amerikansk;substantiv intetkøn;noun;trunk;trunk;american;;;"
"1_bagagerumsmarked;bagagerumsmarked;bagagerumsmarked;britisk;substantiv intetkøn;noun;car boot sale;car boot sale;british;;;"
"1_bagagerumsmarked;bagagerumsmarked;bagagerumsmarkederne;;substantiv intetkøn flertal bestemt;noun plural definite;car boot sale;the car boot sales;;;;"
"1_bagagerumsmarked;bagagerumsmarked;bagagerumsmarkeder;;substantiv intetkøn flertal ubestemt;noun plural indefinite;car boot sale;car boot sales;;;;"
"1_bagagerumsmarked;bagagerumsmarked;bagagerumsmarkedet;;substantiv intetkøn ental bestemt;noun singular definite;car boot sale;the car boot sale;;;;"
"1_bagagevogn;bagagevogn;bagagevogn;;substantiv;noun;luggage cart;luggage cart;;;;"
"1_bagagevogn;bagagevogn;bagagevogn;;substantiv;noun;luggage trolley;luggage trolley;;;;"
"1_bagagevogn;bagagevogn;bagagevogn;;substantiv;noun;luggage van;luggage van;;;;"
"1_bagben;bagben;bagben;;substantiv intetkøn;noun;hind leg;hind leg;;;;"
1_bagbord;bagbord;bagbord;;substantiv;noun;backboard;backboard;;;;
1_bagbord;bagbord;bagbord;;adverbium;adverb;port;port;;;;
1_bagbord;bagbord;bagbord;;substantiv;noun;port;port;;;;
"1_bagdør;bagdør;bagdør;;substantiv;noun;back door;back door;;Tom hørte bagdøren gå op og i.;Tom heard the back door open and close.;"
"1_bagdør;bagdør;bagdørene;;substantiv fælleskøn flertal bestemt;noun plural definite;back door;the back doors;;Tom hørte bagdøren gå op og i.;Tom heard the back door open and close.;"
"1_bagdør;bagdør;bagdøre;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;back door;back doors;;Tom hørte bagdøren gå op og i.;Tom heard the back door open and close.;"
"1_bagdør;bagdør;bagdøren;;substantiv fælleskøn ental bestemt;noun singular definite;back door;the back door;;Tom hørte bagdøren gå op og i.;Tom heard the back door open and close.;"
"1_bage;bage;bage;;verbum;verb;bake;bake;;Min mor bagte en kage til min fødselsdag.;My mother baked a cake for my birthday.;"
"1_bage;bage;bage;;verbum;verb;bake;bake;;Min mor bagte en kage til min fødselsdag.;My mother baked a cake for my birthday.;"
"1_bage;bage;bagede;;verbum datid;verb past tense;bake;baked;;Min mor bagte en kage til min fødselsdag.;My mother baked a cake for my birthday.;"
"1_bage;bage;bagte;;verbum datid;verb past tense;bake;baked;;Min mor bagte en kage til min fødselsdag.;My mother baked a cake for my birthday.;"
"1_bage;bage;bager;;verbum nutid;verb present 3rd person singular;bake;bakes;;Min mor bagte en kage til min fødselsdag.;My mother baked a cake for my birthday.;"
"1_bage;bage;bager;;verbum nutid;verb present non 3rd person;bake;bake;;Min mor bagte en kage til min fødselsdag.;My mother baked a cake for my birthday.;"
1_bagefter;bagefter;bagefter;;adverbium;adverb;afterwards;afterwards;;;;
1_bagefter;bagefter;bagefter;;adverbium;adverb;next;next;;;;
1_bagefter;bagefter;bagefter;;adverbium;adverb;subsequently;subsequently;;;;
"1_bagekartoffel;bagekartoffel;bagekartoffel;;substantiv fælleskøn;noun;baked potato;baked potato;;;;"
"1_bagekartoffel;bagekartoffel;bagekartoflerne;;substantiv fælleskøn flertal bestemt;noun plural definite;baked potato;the baked potatoes;;;;"
"1_bagekartoffel;bagekartoffel;bagekartofler;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;baked potato;baked potatoes;;;;"
"1_bagekartoffel;bagekartoffel;bagekartoflen;;substantiv fælleskøn ental bestemt;noun singular definite;baked potato;the baked potato;;;;"
"1_bagende;bagende;bagende;;substantiv fælleskøn;noun;rear end;rear end;;;;"
"1_bagende;bagende;bagenderne;;substantiv fælleskøn flertal bestemt;noun plural definite;rear end;the rear ends;;;;"
"1_bagende;bagende;bagender;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;rear end;rear ends;;;;"
"1_bagende;bagende;bagenden;;substantiv fælleskøn ental bestemt;noun singular definite;rear end;the rear end;;;;"
"1_bageovn;bageovn;bageovn;;substantiv;noun;oven;oven;;Pizzaen blev bagt i en træfyret bageovn.;The pizza was cooked in a wood-fired oven.;"
"1_bageovn;bageovn;bageovnene;;substantiv fælleskøn flertal bestemt;noun plural definite;oven;the ovens;;Pizzaen blev bagt i en træfyret bageovn.;The pizza was cooked in a wood-fired oven.;"
"1_bageovn;bageovn;bageovne;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;oven;ovens;;Pizzaen blev bagt i en træfyret bageovn.;The pizza was cooked in a wood-fired oven.;"
"1_bageovn;bageovn;bageovnen;;substantiv fælleskøn ental bestemt;noun singular definite;oven;the oven;;Pizzaen blev bagt i en træfyret bageovn.;The pizza was cooked in a wood-fired oven.;"
"1_bagepulver;bagepulver;bagepulver;;substantiv intetkøn;noun;baking powder;baking powder;;;;"
"1_bagepulver;bagepulver;bagepulveret;;substantiv intetkøn ental bestemt;noun singular definite;baking powder;the baking powder;;;;"
"1_bager;bager;bager;;substantiv fælleskøn;noun;baker;baker;;;;"
"1_bager;bager;bagerne;;substantiv fælleskøn flertal bestemt;noun plural definite;baker;the bakers;;;;"
"1_bager;bager;bagere;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;baker;bakers;;;;"
"1_bager;bager;bageren;;substantiv fælleskøn ental bestemt;noun singular definite;baker;the baker;;;;"
"1_bageri;bageri;bageri;;substantiv intetkøn;noun;bakery;bakery;;Hvornår åbner bageriet?;When does the bakery open?;"
"1_bageri;bageri;bagerierne;;substantiv intetkøn flertal bestemt;noun plural definite;bakery;the bakeries;;Hvornår åbner bageriet?;When does the bakery open?;"
"1_bageri;bageri;bagerier;;substantiv intetkøn flertal ubestemt;noun plural indefinite;bakery;bakeries;;Hvornår åbner bageriet?;When does the bakery open?;"
"1_bageri;bageri;bageriet;;substantiv intetkøn ental bestemt;noun singular definite;bakery;the bakery;;Hvornår åbner bageriet?;When does the bakery open?;"
"1_bagerlærling;bagerlærling;bagerlærling;;substantiv fælleskøn;noun;baker's apprentice;baker's apprentice;;;;"
"1_bagfra;bagfra;bagfra;;adverbium;adverb;from behind;from behind;;;;"
"1_bagfra;bagfra;bagfra;;adverbium;adverb;from the back;from the back;;;;"
"1_bagfra;bagfra;bagfra;;adverbium;adverb;from the rear;from the rear;;;;"
"1_baggrund;baggrund;baggrund;;substantiv fælleskøn;noun;background;background;;;;"
"1_baggrund;baggrund;baggrundene;;substantiv fælleskøn flertal bestemt;noun plural definite;background;the backgrounds;;;;"
"1_baggrund;baggrund;baggrunde;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;background;backgrounds;;;;"
"1_baggrund;baggrund;baggrunden;;substantiv fælleskøn ental bestemt;noun singular definite;background;the background;;;;"
"1_baggrundsstøj;baggrundsstøj;baggrundsstøj;;substantiv fælleskøn;noun;background noise;background noise;;;;"
"1_baggrundsstøj;baggrundsstøj;baggrundsstøjen;;substantiv fælleskøn ental bestemt;noun singular definite;background noise;the background noise;;;;"
"1_baghjul;baghjul;baghjul;;substantiv intetkøn;noun;back wheel;back wheel;;;;"
"1_baghjul;baghjul;baghjul;;substantiv intetkøn;noun;rear wheel;rear wheel;;;;"
"1_baghjulstræk;baghjulstræk;baghjulstræk;;substantiv intetkøn;noun;rear-wheel drive;rear-wheel drive;;;;"
"1_baghjulstræk;baghjulstræk;baghjulstrækkene;;substantiv intetkøn flertal bestemt;noun plural definite;rear-wheel drive;the rear-wheel drives;;;;"
"1_baghjulstræk;baghjulstræk;baghjulstræk;;substantiv intetkøn flertal ubestemt;noun plural indefinite;rear-wheel drive;rear-wheel drives;;;;"
"1_baghjulstræk;baghjulstræk;baghjulstrækket;;substantiv intetkøn ental bestemt;noun singular definite;rear-wheel drive;the rear-wheel drive;;;;"
1_bagklog;bagklog;bagklog;;adjektiv;adjective;afterwise;afterwise;;;;
1_baglæns;baglæns;baglæns;;adverbium;adverb;backwards;backwards;;;;
1_bagom;bagom;bagom;;;;behind;behind;;;;
"1_bagrude;bagrude;bagrude;;substantiv fælleskøn;noun;back window;back window;;;;"
"1_bagrude;bagrude;bagrude;;substantiv fælleskøn;noun;rear window;rear window;;;;"
"1_bagside;bagside;bagside;;substantiv fælleskøn;noun;back;back;;;;"
"1_bagside;bagside;bagsiderne;;substantiv fælleskøn flertal bestemt;noun plural definite;back;the backs;;;;"
"1_bagside;bagside;bagsider;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;back;backs;;;;"
"1_bagside;bagside;bagsiden;;substantiv fælleskøn ental bestemt;noun singular definite;back;the back;;;;"
"1_bagside;bagside;bagside;;substantiv fælleskøn;noun;reverse;reverse;;;;"
"1_bagside;bagside;bagsiderne;;substantiv fælleskøn flertal bestemt;noun plural definite;reverse;the reverses;;;;"
"1_bagside;bagside;bagsider;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;reverse;reverses;;;;"
"1_bagside;bagside;bagsiden;;substantiv fælleskøn ental bestemt;noun singular definite;reverse;the reverse;;;;"
"1_bagsæde;bagsæde;bagsæde;;substantiv intetkøn;noun;back seat;back seat;;;;"
"1_bagsæde;bagsæde;bagsæderne;;substantiv intetkøn flertal bestemt;noun plural definite;back seat;the back seats;;;;"
"1_bagsæde;bagsæde;bagsæder;;substantiv intetkøn flertal ubestemt;noun plural indefinite;back seat;back seats;;;;"
"1_bagsæde;bagsæde;bagsædet;;substantiv intetkøn ental bestemt;noun singular definite;back seat;the back seat;;;;"
1_bagtale;bagtale;bagtale;;verbum;verb;slander;slander;;;;
"1_bagtale;bagtale;bagtalte;;verbum datid;verb past tense;slander;slandered;;;;"
"1_bagtale;bagtale;bagtaler;;verbum nutid;verb present 3rd person singular;slander;slanders;;;;"
"1_bagtale;bagtale;bagtaler;;verbum nutid;verb present non 3rd person;slander;slander;;;;"
"1_bagtil;bagtil;bagtil;;adverbium;adverb;at the back;at the back;;;;"
"1_bagtil;bagtil;bagtil;;adverbium;adverb;at the rear;at the rear;;;;"
"1_bagvaskelse;bagvaskelse;bagvaskelse;;substantiv fælleskøn;noun;defamation;defamation;;;;"
"1_bagvaskelse;bagvaskelse;bagvaskelserne;;substantiv fælleskøn flertal bestemt;noun plural definite;defamation;the defamations;;;;"
"1_bagvaskelse;bagvaskelse;bagvaskelser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;defamation;defamations;;;;"
"1_bagvaskelse;bagvaskelse;bagvaskelsen;;substantiv fælleskøn ental bestemt;noun singular definite;defamation;the defamation;;;;"
1_bagved;bagved;bagved;;adverbium;adverb;behind;behind;;;;
1_bajonet;bajonet;bajonet;;substantiv;noun;bayonet;bayonet;;;;
"1_bajonet;bajonet;bajonetterne;;substantiv fælleskøn flertal bestemt;noun plural definite;bayonet;the bayonets;;;;"
"1_bajonet;bajonet;bajonetter;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;bayonet;bayonets;;;;"
"1_bajonet;bajonet;bajonetten;;substantiv fælleskøn ental bestemt;noun singular definite;bayonet;the bayonet;;;;"
"1_bakke;bakke;bakke;;substantiv fælleskøn;noun;hill;hill;;Vi løb ned ad bakken.;We ran down the hill.;"
"1_bakke;bakke;bakkerne;;substantiv fælleskøn flertal bestemt;noun plural definite;hill;the hills;;Vi løb ned ad bakken.;We ran down the hill.;"
"1_bakke;bakke;bakker;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;hill;hills;;Vi løb ned ad bakken.;We ran down the hill.;"
