"1_A4-format;A4-format;A4-format;;substantiv intetkøn;noun;A4 format;A4 format;;;;"
1_afsløring;afsløring;afsløring;;substantiv;noun;discovery;discovery;;;;
"1_afsløring;afsløring;afsløringerne;;substantiv fælleskøn flertal bestemt;noun plural definite;discovery;the discoveries;;;;"
"1_afsløring;afsløring;afsløringer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;discovery;discoveries;;;;"
"1_afsløring;afsløring;afsløringen;;substantiv fælleskøn ental bestemt;noun singular definite;discovery;the discovery;;;;"
1_afslå;afslå;afslå;;verbum;verb;reject;reject;;;;
"1_afslå;afslå;afslog;;verbum datid;verb past tense;reject;rejected;;;;"
"1_afslå;afslå;afslår;;verbum nutid;verb present 3rd person singular;reject;rejects;;;;"
"1_afslå;afslå;afslår;;verbum nutid;verb present non 3rd person;reject;reject;;;;"
"1_afsnit;afsnit;afsnit;;substantiv intetkøn;noun;episode;episode;;Hvornår sendes næste afsnit?;When will the next episode air?;"
"1_afsnit;afsnit;afsnittene;;substantiv intetkøn flertal bestemt;noun plural definite;episode;the episodes;;Hvornår sendes næste afsnit?;When will the next episode air?;"
"1_afsnit;afsnit;afsnit;;substantiv intetkøn flertal ubestemt;noun plural indefinite;episode;episodes;;Hvornår sendes næste afsnit?;When will the next episode air?;"
"1_afsnit;afsnit;afsnittet;;substantiv intetkøn ental bestemt;noun singular definite;episode;the episode;;Hvornår sendes næste afsnit?;When will the next episode air?;"
1_afsnit;afsnit;afsnit;;substantiv;noun;paragraph;paragraph;;;;
"1_afsnit;afsnit;afsnittene;;substantiv intetkøn flertal bestemt;noun plural definite;paragraph;the paragraphs;;;;"
"1_afsnit;afsnit;afsnit;;substantiv intetkøn flertal ubestemt;noun plural indefinite;paragraph;paragraphs;;;;"
"1_afsnit;afsnit;afsnittet;;substantiv intetkøn ental bestemt;noun singular definite;paragraph;the paragraph;;;;"
1_afsone;afsone;afsone;;verbum;verb;serve;serve;;;;
1_afspejle;afspejle;afspejle;;verbum;verb;reflect;reflect;;;;
"1_afsporing;afsporing;afsporing;;substantiv fælleskøn;noun;derailment;derailment;;;;"
"1_afsporing;afsporing;afsporingerne;;substantiv fælleskøn flertal bestemt;noun plural definite;derailment;the derailments;;;;"
"1_afsporing;afsporing;afsporinger;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;derailment;derailments;;;;"
"1_afsporing;afsporing;afsporingen;;substantiv fælleskøn ental bestemt;noun singular definite;derailment;the derailment;;;;"
1_afstamme;afstamme;afstamme;;verbum;verb;derive;derive;;;;
1_afstamme;afstamme;afstamme;;verbum;verb;originate;originate;;;;
1_afstamning;afstamning;afstamning;;substantiv;noun;lineage;lineage;;;;
"1_afstamning;afstamning;afstamningerne;;substantiv fælleskøn flertal bestemt;noun plural definite;lineage;the lineages;;;;"
"1_afstamning;afstamning;afstamninger;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;lineage;lineages;;;;"
"1_afstamning;afstamning;afstamningen;;substantiv fælleskøn ental bestemt;noun singular definite;lineage;the lineage;;;;"
"1_afstand;afstand;afstand;;substantiv fælleskøn;noun;distance;distance;;Set på afstand lignede øen en sky.;Viewed from a distance"," the island looked like a cloud.;"
"1_afstand;afstand;afstandene;;substantiv fælleskøn flertal bestemt;noun plural definite;distance;the distances;;Set på afstand lignede øen en sky.;Viewed from a distance"," the island looked like a cloud.;"
"1_afstand;afstand;afstande;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;distance;distances;;Set på afstand lignede øen en sky.;Viewed from a distance"," the island looked like a cloud.;"
"1_afstand;afstand;afstanden;;substantiv fælleskøn ental bestemt;noun singular definite;distance;the distance;;Set på afstand lignede øen en sky.;Viewed from a distance"," the island looked like a cloud.;"
"1_afstemning;afstemning;afstemning;;substantiv fælleskøn;noun;ballot;ballot;;;;"
"1_afstemning;afstemning;afstemning;;substantiv fælleskøn;noun;vote;vote;;Vi besluttede ved afstemning.;We decided by vote.;"
"1_afstemning;afstemning;afstemningerne;;substantiv fælleskøn flertal bestemt;noun plural definite;vote;the votes;;Vi besluttede ved afstemning.;We decided by vote.;"
"1_afstemning;afstemning;afstemninger;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;vote;votes;;Vi besluttede ved afstemning.;We decided by vote.;"
"1_afstemning;afstemning;afstemningen;;substantiv fælleskøn ental bestemt;noun singular definite;vote;the vote;;Vi besluttede ved afstemning.;We decided by vote.;"
1_afstemt;afstemt;afstemt;;adjektiv,participum;adjective,participle;attuned;attuned;;;;
"1_afstraffelse;afstraffelse;afstraffelse;;substantiv fælleskøn;noun;punishment;punishment;;;;"
"1_afstraffelse;afstraffelse;afstraffelserne;;substantiv fælleskøn flertal bestemt;noun plural definite;punishment;the punishments;;;;"
"1_afstraffelse;afstraffelse;afstraffelser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;punishment;punishments;;;;"
"1_afstraffelse;afstraffelse;afstraffelsen;;substantiv fælleskøn ental bestemt;noun singular definite;punishment;the punishment;;;;"
1_aftage;aftage;aftage;;verbum;verb;decrease;decrease;;;;
1_aftagende;aftagende;aftagende;;adjektiv;adjective;decreasing;decreasing;;;;
"1_aftale;aftale;aftale;;substantiv;noun;agreement;agreement;;Vi har en aftale.;We have an agreement.;"
"1_aftale;aftale;aftale;;substantiv fælleskøn;noun;agreement;agreement;;Vi har en aftale.;We have an agreement.;"
"1_aftale;aftale;aftalerne;;substantiv fælleskøn flertal bestemt;noun plural definite;agreement;the agreements;;Vi har en aftale.;We have an agreement.;"
"1_aftale;aftale;aftaler;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;agreement;agreements;;Vi har en aftale.;We have an agreement.;"
"1_aftale;aftale;aftalen;;substantiv fælleskøn ental bestemt;noun singular definite;agreement;the agreement;;Vi har en aftale.;We have an agreement.;"
1_aftale;aftale;aftale;;substantiv;noun;appointment;appointment;;;;
"1_aftale;aftale;aftale;;substantiv fælleskøn;noun;appointment;appointment;;;;"
"1_aftale;aftale;aftalerne;;substantiv fælleskøn flertal bestemt;noun plural definite;appointment;the appointments;;;;"
"1_aftale;aftale;aftaler;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;appointment;appointments;;;;"
"1_aftale;aftale;aftalen;;substantiv fælleskøn ental bestemt;noun singular definite;appointment;the appointment;;;;"
"1_aftale;aftale;aftale;;substantiv fælleskøn;noun;deal;deal;;Vi har en aftale.;We have a deal.;"
"1_aftale;aftale;aftalerne;;substantiv fælleskøn flertal bestemt;noun plural definite;deal;the deals;;Vi har en aftale.;We have a deal.;"
"1_aftale;aftale;aftaler;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;deal;deals;;Vi har en aftale.;We have a deal.;"
"1_aftale;aftale;aftalen;;substantiv fælleskøn ental bestemt;noun singular definite;deal;the deal;;Vi har en aftale.;We have a deal.;"
"1_aften;aften;aften;;substantiv fælleskøn;noun;evening;evening;;Jeg ringer til dig i aften klokken syv.;I'll ring you up at seven this evening.;"
"1_aften;aften;aftenerne;;substantiv fælleskøn flertal bestemt;noun plural definite;evening;the evenings;;Jeg ringer til dig i aften klokken syv.;I'll ring you up at seven this evening.;"
"1_aften;aften;aftnerne;;substantiv fælleskøn flertal bestemt;noun plural definite;evening;the evenings;;Jeg ringer til dig i aften klokken syv.;I'll ring you up at seven this evening.;"
"1_aften;aften;aftener;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;evening;evenings;;Jeg ringer til dig i aften klokken syv.;I'll ring you up at seven this evening.;"
"1_aften;aften;aftner;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;evening;evenings;;Jeg ringer til dig i aften klokken syv.;I'll ring you up at seven this evening.;"
"1_aften;aften;aftenen;;substantiv fælleskøn ental bestemt;noun singular definite;evening;the evening;;Jeg ringer til dig i aften klokken syv.;I'll ring you up at seven this evening.;"
"1_aftenavis;aftenavis;aftenavis;;substantiv;noun;evening paper;evening paper;;;;"
"1_aftenavis;aftenavis;aftenaviserne;;substantiv fælleskøn flertal bestemt;noun plural definite;evening paper;the evening papers;;;;"
