"1_A4-format;A4-format;A4-format;;substantiv intetkøn;noun;A4 format;A4 format;;;;"
"1_aftenavis;aftenavis;aftenaviser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;evening paper;evening papers;;;;"
"1_aftenavis;aftenavis;aftenavisen;;substantiv fælleskøn ental bestemt;noun singular definite;evening paper;the evening paper;;;;"
"1_aftenkjole;aftenkjole;aftenkjole;;substantiv fælleskøn;noun;evening dress;evening dress;;;;"
"1_aftenkjole;aftenkjole;aftenkjole;;substantiv fælleskøn;noun;evening gown;evening gown;;;;"
"1_aftenkjole;aftenkjole;aftenkjolerne;;substantiv fælleskøn flertal bestemt;noun plural definite;evening gown;the evening gowns;;;;"
"1_aftenkjole;aftenkjole;aftenkjoler;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;evening gown;evening gowns;;;;"
"1_aftenkjole;aftenkjole;aftenkjolen;;substantiv fælleskøn ental bestemt;noun singular definite;evening gown;the evening gown;;;;"
"1_aftensmad;aftensmad;aftensmad;;substantiv fælleskøn;noun;dinner;dinner;;Han spiser tit fisk til aftensmad.;He often eats fish for dinner.;"
"1_aftensmad;aftensmad;aftensmaden;;substantiv fælleskøn ental bestemt;noun singular definite;dinner;the dinner;;Han spiser tit fisk til aftensmad.;He often eats fish for dinner.;"
"1_aftensmad;aftensmad;aftensmad;;substantiv fælleskøn;noun;evening meal;evening meal;;;;"
"1_aftensmad;aftensmad;aftensmad;;substantiv;noun;supper;supper;;Tom er ved at lave aftensmad.;Tom is preparing supper.;"
"1_aftensmad;aftensmad;aftensmaden;;substantiv fælleskøn ental bestemt;noun singular definite;supper;the supper;;Tom er ved at lave aftensmad.;Tom is preparing supper.;"
1_afvandet;afvandet;afvandet;;adjektiv,participum;adjective,participle;dewatered;dewatered;;;;
1_afveksling;afveksling;afveksling;;substantiv;noun;alternation;alternation;;;;
"1_afveksling;afveksling;afvekslingerne;;substantiv fælleskøn flertal bestemt;noun plural definite;alternation;the alternations;;;;"
"1_afveksling;afveksling;afvekslinger;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;alternation;alternations;;;;"
"1_afveksling;afveksling;afvekslingen;;substantiv fælleskøn ental bestemt;noun singular definite;alternation;the alternation;;;;"
"1_afvigelse;afvigelse;afvigelse;;substantiv fælleskøn;noun;deviation;deviation;;;;"
"1_afvigelse;afvigelse;afvigelserne;;substantiv fælleskøn flertal bestemt;noun plural definite;deviation;the deviations;;;;"
"1_afvigelse;afvigelse;afvigelser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;deviation;deviations;;;;"
"1_afvigelse;afvigelse;afvigelsen;;substantiv fælleskøn ental bestemt;noun singular definite;deviation;the deviation;;;;"
1_afvise;afvise;afvise;;verbum;verb;refuse;refuse;;;;
"1_afvise;afvise;afvise;;verbum;verb;reject;reject;;Hun afviste ham.;She rejected him.;"
"1_afvise;afvise;afvise;;verbum;verb;reject;reject;;Hun afviste ham.;She rejected him.;"
"1_afvise;afvise;afviste;;verbum datid;verb past tense;reject;rejected;;Hun afviste ham.;She rejected him.;"
"1_afvise;afvise;afviser;;verbum nutid;verb present 3rd person singular;reject;rejects;;Hun afviste ham.;She rejected him.;"
"1_afvise;afvise;afviser;;verbum nutid;verb present non 3rd person;reject;reject;;Hun afviste ham.;She rejected him.;"
"1_afvise;afvise;afvise;;verbum;verb;turn down;turn down;;;;"
"1_afvisning;afvisning;afvisning;;substantiv fælleskøn;noun;refusal;refusal;;;;"
"1_afvisning;afvisning;afvisningerne;;substantiv fælleskøn flertal bestemt;noun plural definite;refusal;the refusals;;;;"
"1_afvisning;afvisning;afvisninger;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;refusal;refusals;;;;"
"1_afvisning;afvisning;afvisningen;;substantiv fælleskøn ental bestemt;noun singular definite;refusal;the refusal;;;;"
1_afvist;afvist;afvist;;adjektiv,participum;adjective,participle;dismissed;dismissed;;;;
1_afvæbne;afvæbne;afvæbne;;verbum;verb;disarm;disarm;;;;
"1_agens;agens;agens;;substantiv fælleskøn;noun;agent;agent;;;;"
"1_agens;agens;agenserne;;substantiv fælleskøn flertal bestemt;noun plural definite;agent;the agents;;;;"
"1_agens;agens;agenser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;agent;agents;;;;"
"1_agens;agens;agensen;;substantiv fælleskøn ental bestemt;noun singular definite;agent;the agent;;;;"
"1_agent;agent;agent;;substantiv;noun;agent;agent;;Mary fyrede sin agent.;Mary fired her agent.;"
"1_agent;agent;agenterne;;substantiv fælleskøn flertal bestemt;noun plural definite;agent;the agents;;Mary fyrede sin agent.;Mary fired her agent.;"
"1_agent;agent;agenter;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;agent;agents;;Mary fyrede sin agent.;Mary fired her agent.;"
"1_agent;agent;agenten;;substantiv fælleskøn ental bestemt;noun singular definite;agent;the agent;;Mary fyrede sin agent.;Mary fired her agent.;"
"1_agentur;agentur;agentur;;substantiv intetkøn;noun;agency;agency;;;;"
"1_agentur;agentur;agenturerne;;substantiv intetkøn flertal bestemt;noun plural definite;agency;the agencies;;;;"
"1_agentur;agentur;agenturer;;substantiv intetkøn flertal ubestemt;noun plural indefinite;agency;agencies;;;;"
"1_agentur;agentur;agenturet;;substantiv intetkøn ental bestemt;noun singular definite;agency;the agency;;;;"
"1_agerhøne;agerhøne;agerhøne;;substantiv fælleskøn;noun;partridge;partridge;;;;"
"1_agerhøne;agerhøne;agerhønsene;;substantiv fælleskøn flertal bestemt;noun plural definite;partridge;the partridge;;;;"
"1_agerhøne;agerhøne;agerhøns;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;partridge;partridge;;;;"
"1_agerhøne;agerhøne;agerhønen;;substantiv fælleskøn ental bestemt;noun singular definite;partridge;the partridge;;;;"
"1_agern;agern;agern;;substantiv intetkøn;noun;acorn;acorn;;Fra et lille agern vokser der et højt egetræ.;From a small acorn grows a tall oak tree.;"
"1_agern;agern;agernene;;substantiv intetkøn flertal bestemt;noun plural definite;acorn;the acorns;;Fra et lille agern vokser der et højt egetræ.;From a small acorn grows a tall oak tree.;"
"1_agern;agern;agern;;substantiv intetkøn flertal ubestemt;noun plural indefinite;acorn;acorns;;Fra et lille agern vokser der et højt egetræ.;From a small acorn grows a tall oak tree.;"
"1_agern;agern;agernet;;substantiv intetkøn ental bestemt;noun singular definite;acorn;the acorn;;Fra et lille agern vokser der et højt egetræ.;From a small acorn grows a tall oak tree.;"
"1_aggression;aggression;aggression;;substantiv fælleskøn;noun;aggression;aggression;;;;"
"1_aggression;aggression;aggressionen;;substantiv fælleskøn ental bestemt;noun singular definite;aggression;the aggression;;;;"
"1_aggressiv;aggressiv;aggressiv;;adjektiv;adjective;aggressive;aggressive;;John er en aggressiv person.;John is an aggressive person.;"
"1_aggressiv;aggressiv;aggressive;;adjektiv flertal;adjective plural;aggressive;aggressive;;John er en aggressiv person.;John is an aggressive person.;"
"1_aggressiv;aggressiv;aggressiv;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;aggressive;aggressive;;John er en aggressiv person.;John is an aggressive person.;"
"1_aggressiv;aggressiv;aggressivt;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;aggressive;aggressive;;John er en aggressiv person.;John is an aggressive person.;"
"1_aggressiv;aggressiv;aggressive;;adjektiv ental bestemt;adjective singular definite;aggressive;the aggressive;;John er en aggressiv person.;John is an aggressive person.;"
1_aggressivt;aggressivt;aggressivt;;adverbium;adverb;aggressively;aggressively;;;;
1_agil;agil;agil;;adjektiv;adjective;agile;agile;;;;
"1_agil;agil;agile;;adjektiv flertal;adjective plural;agile;agile;;;;"
"1_agil;agil;agil;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;agile;agile;;;;"
"1_agil;agil;agilt;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;agile;agile;;;;"
"1_agil;agil;agile;;adjektiv ental bestemt;adjective singular definite;agile;the agile;;;;"
"1_agitation;agitation;agitation;;substantiv fælleskøn;noun;agitation;agitation;;;;"
"1_agitation;agitation;agitationerne;;substantiv fælleskøn flertal bestemt;noun plural definite;agitation;the agitations;;;;"
"1_agitation;agitation;agitationer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;agitation;agitations;;;;"
"1_agitation;agitation;agitationen;;substantiv fælleskøn ental bestemt;noun singular definite;agitation;the agitation;;;;"
"1_agnosticisme;agnosticisme;agnosticisme;;substantiv fælleskøn;noun;agnosticism;agnosticism;;;;"
"1_agnosticisme;agnosticisme;agnosticismen;;substantiv fælleskøn ental bestemt;noun singular definite;agnosticism;the agnosticism;;;;"
"1_agoni;agoni;agoni;;substantiv fælleskøn;noun;agony;agony;;;;"
"1_agoni;agoni;agonien;;substantiv fælleskøn ental bestemt;noun singular definite;agony;the agony;;;;"
1_agte;agte;agte;;verbum;verb;regard;regard;;;;
"1_agterende;agterende;agterende;;substantiv fælleskøn;noun;stern;stern;;;;"
"1_agterende;agterende;agterenderne;;substantiv fælleskøn flertal bestemt;noun plural definite;stern;the sterns;;;;"
"1_agterende;agterende;agterender;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;stern;sterns;;;;"
"1_agterende;agterende;agterenden;;substantiv fælleskøn ental bestemt;noun singular definite;stern;the stern;;;;"
1_agterud;agterud;agterud;;adverbium;adverb;astern;astern;;;;
"1_agurk;agurk;agurk;;substantiv fælleskøn;noun;cucumber;cucumber;;Jeg spiser en agurk.;I am eating a cucumber.;"
"1_agurk;agurk;agurkerne;;substantiv fælleskøn flertal bestemt;noun plural definite;cucumber;the cucumbers;;Jeg spiser en agurk.;I am eating a cucumber.;"
"1_agurk;agurk;agurker;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;cucumber;cucumbers;;Jeg spiser en agurk.;I am eating a cucumber.;"
"1_agurk;agurk;agurken;;substantiv fælleskøn ental bestemt;noun singular definite;cucumber;the cucumber;;Jeg spiser en agurk.;I am eating a cucumber.;"
"1_agurketid;agurketid;agurketid;;substantiv fælleskøn;noun;silly season;silly season;;;;"
1_ahorn;ahorn;ahorn;;substantiv;noun;maple;maple;;;;
"1_ahorn;ahorn;ahornene;;substantiv fælleskøn flertal bestemt;noun plural definite;maple;the maples;;;;"
"1_ahorn;ahorn;ahorn;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;maple;maples;;;;"
"1_ahorn;ahorn;ahornen;;substantiv fælleskøn ental bestemt;noun singular definite;maple;the maple;;;;"
"1_ahorn;ahorn;ahorn;;substantiv fælleskøn;noun;sycamore;sycamore;;;;"
"1_ahorn;ahorn;ahornene;;substantiv fælleskøn flertal bestemt;noun plural definite;sycamore;the sycamores;;;;"
"1_ahorn;ahorn;ahorn;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;sycamore;sycamores;;;;"
"1_ahorn;ahorn;ahornen;;substantiv fælleskøn ental bestemt;noun singular definite;sycamore;the sycamore;;;;"
"1_ahornsirup;ahornsirup;ahornsirup;;substantiv;noun;maple syrup;maple syrup;;;;"
"1_ahornsirup;ahornsirup;ahornsirupperne;;substantiv fælleskøn flertal bestemt;noun plural definite;maple syrup;the maple sirups;;;;"
"1_ahornsirup;ahornsirup;ahornsirupper;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;maple syrup;maple sirups;;;;"
"1_ahornsirup;ahornsirup;ahornsiruppen;;substantiv fælleskøn ental bestemt;noun singular definite;maple syrup;the maple sirup;;;;"
"1_aircondition;aircondition;aircondition;;substantiv fælleskøn;noun;air conditioning;air conditioning;;Dette hotelværelse har aircondition.;This hotel room has air conditioning.;"
1_airconditioneret;airconditioneret;airconditioneret;;adjektiv;adjective;air-conditioned;air-conditioned;;;;
"1_airconditioneret;airconditioneret;airconditionerede;;adjektiv flertal;adjective plural;air-conditioned;air-conditioned;;;;"
"1_airconditioneret;airconditioneret;airconditioneret;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;air-conditioned;air-conditioned;;;;"
"1_airconditioneret;airconditioneret;airconditioneret;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;air-conditioned;air-conditioned;;;;"
"1_airconditioneret;airconditioneret;airconditionerede;;adjektiv ental bestemt;adjective singular definite;air-conditioned;the air-conditioned;;;;"
"1_ajour;ajour;ajour;;adjektiv;adjective;up to date;up to date;;Vi forsøger at holde os ajour.;We're trying to stay up to date.;"
1_ajourføre;ajourføre;ajourføre;;verbum;verb;update;update;;;;
"1_akacie;akacie;akacie;;substantiv fælleskøn;noun;acacia;acacia;;;;"
"1_akacie;akacie;akacierne;;substantiv fælleskøn flertal bestemt;noun plural definite;acacia;the acacias;;;;"
"1_akacie;akacie;akacier;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;acacia;acacias;;;;"
"1_akacie;akacie;akacien;;substantiv fælleskøn ental bestemt;noun singular definite;acacia;the acacia;;;;"
1_akademi;akademi;akademi;;substantiv;noun;academy;academy;;;;
"1_akademi;akademi;akademierne;;substantiv intetkøn flertal bestemt;noun plural definite;academy;the academies;;;;"
"1_akademi;akademi;akademier;;substantiv intetkøn flertal ubestemt;noun plural indefinite;academy;academies;;;;"
"1_akademi;akademi;akademiet;;substantiv intetkøn ental bestemt;noun singular definite;academy;the academy;;;;"
"1_akademiker;akademiker;akademiker;;substantiv fælleskøn;noun;academic;academic;;;;"
"1_akademiker;akademiker;akademikerne;;substantiv fælleskøn flertal bestemt;noun plural definite;academic;the academics;;;;"
"1_akademiker;akademiker;akademikere;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;academic;academics;;;;"
"1_akademiker;akademiker;akademikeren;;substantiv fælleskøn ental bestemt;noun singular definite;academic;the academic;;;;"
1_akademisk;akademisk;akademisk;;adjektiv;adjective;academic;academic;;;;
"1_akademisk;akademisk;akademiske;;adjektiv flertal;adjective plural;academic;academic;;;;"
"1_akademisk;akademisk;akademisk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;academic;academic;;;;"
"1_akademisk;akademisk;akademisk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;academic;academic;;;;"
"1_akademisk;akademisk;akademiske;;adjektiv ental bestemt;adjective singular definite;academic;the academic;;;;"
"1_akillessene;akillessene;akillessene;;substantiv fælleskøn;noun;Achilles tendon;Achilles tendon;;;;"
"1_akillessene;akillessene;akillessenerne;;substantiv fælleskøn flertal bestemt;noun plural definite;Achilles tendon;the Achilles tendons;;;;"
"1_akillessene;akillessene;akillessener;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;Achilles tendon;Achilles tendons;;;;"
"1_akillessene;akillessene;akillessenen;;substantiv fælleskøn ental bestemt;noun singular definite;Achilles tendon;the Achilles tendon;;;;"
1_akklimatisere;akklimatisere;akklimatisere;britisk;verbum;verb;acclimatise;acclimatise;british;;;
1_akklimatisere;akklimatisere;akklimatisere;;verbum;verb;acclimatize;acclimatize;;;;
1_akkompagnere;akkompagnere;akkompagnere;;verbum;verb;accompany;accompany;;;;
1_akkumulator;akkumulator;akkumulator;;substantiv;noun;accumulator;accumulator;;;;
"1_akkumulator;akkumulator;akkumulatorerne;;substantiv fælleskøn flertal bestemt;noun plural definite;accumulator;the accumulators;;;;"
"1_akkumulator;akkumulator;akkumulatorer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;accumulator;accumulators;;;;"
"1_akkumulator;akkumulator;akkumulatoren;;substantiv fælleskøn ental bestemt;noun singular definite;accumulator;the accumulator;;;;"
1_akkumulator;akkumulator;akkumulator;;substantiv;noun;battery;battery;;;;
"1_akkumulator;akkumulator;akkumulatorerne;;substantiv fælleskøn flertal bestemt;noun plural definite;battery;the batteries;;;;"
"1_akkumulator;akkumulator;akkumulatorer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;battery;batteries;;;;"
"1_akkumulator;akkumulator;akkumulatoren;;substantiv fælleskøn ental bestemt;noun singular definite;battery;the battery;;;;"
1_akkumulere;akkumulere;akkumulere;;verbum;verb;accumulate;accumulate;;;;
"1_akkuratesse;akkuratesse;akkuratesse;;substantiv fælleskøn;noun;accuracy;accuracy;;;;"
"1_akkuratesse;akkuratesse;akkuratessen;;substantiv fælleskøn ental bestemt;noun singular definite;accuracy;the accuracy;;;;"
1_akrobat;akrobat;akrobat;;substantiv;noun;acrobat;acrobat;;;;
"1_akrobat;akrobat;akrobaterne;;substantiv fælleskøn flertal bestemt;noun plural definite;acrobat;the acrobats;;;;"
"1_akrobat;akrobat;akrobater;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;acrobat;acrobats;;;;"
"1_akrobat;akrobat;akrobaten;;substantiv fælleskøn ental bestemt;noun singular definite;acrobat;the acrobat;;;;"
"1_akse;akse;akse;;substantiv fælleskøn;noun;axis;axis;;;;"
"1_akse;akse;akserne;;substantiv fælleskøn flertal bestemt;noun plural definite;axis;the axes;;;;"
"1_akse;akse;akser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;axis;axes;;;;"
"1_akse;akse;aksen;;substantiv fælleskøn ental bestemt;noun singular definite;axis;the axis;;;;"
"1_aksel;aksel;aksel;;substantiv fælleskøn;noun;axle;axle;;;;"
"1_aksel;aksel;akslerne;;substantiv fælleskøn flertal bestemt;noun plural definite;axle;the axles;;;;"
"1_aksel;aksel;aksler;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;axle;axles;;;;"
"1_aksel;aksel;akslen;;substantiv fælleskøn ental bestemt;noun singular definite;axle;the axle;;;;"
"1_akselafstand;akselafstand;akselafstand;;substantiv fælleskøn;noun;wheelbase;wheelbase;;;;"
"1_akselafstand;akselafstand;akselafstandene;;substantiv fælleskøn flertal bestemt;noun plural definite;wheelbase;the wheelbases;;;;"
"1_akselafstand;akselafstand;akselafstande;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;wheelbase;wheelbases;;;;"
"1_akselafstand;akselafstand;akselafstanden;;substantiv fælleskøn ental bestemt;noun singular definite;wheelbase;the wheelbase;;;;"
1_akt;akt;akt;;substantiv;noun;act;act;;;;
"1_akt;akt;akterne;;substantiv fælleskøn flertal bestemt;noun plural definite;act;the acts;;;;"
"1_akt;akt;akter;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;act;acts;;;;"
"1_akt;akt;akten;;substantiv fælleskøn ental bestemt;noun singular definite;act;the act;;;;"
"1_aktie;aktie;aktie;;substantiv fælleskøn;noun;share;share;;;;"
"1_aktie;aktie;aktierne;;substantiv fælleskøn flertal bestemt;noun plural definite;share;the shares;;;;"
"1_aktie;aktie;aktier;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;share;shares;;;;"
"1_aktie;aktie;aktien;;substantiv fælleskøn ental bestemt;noun singular definite;share;the share;;;;"
"1_aktiekapital;aktiekapital;aktiekapital;;substantiv fælleskøn;noun;share capital;share capital;;;;"
"1_aktiekapital;aktiekapital;aktiekapitalen;;substantiv fælleskøn ental bestemt;noun singular definite;share capital;the share capital;;;;"
"1_aktier;aktier;aktier;;substantiv flertal;noun;shares;shares;;;;"
"1_aktieselskab;aktieselskab;aktieselskab;britisk;substantiv intetkøn;noun;public limited company;public limited company;british;;;"
"1_aktieselskab;aktieselskab;aktieselskaberne;;substantiv intetkøn flertal bestemt;noun plural definite;public limited company;the public limited companies;;;;"
"1_aktieselskab;aktieselskab;aktieselskaber;;substantiv intetkøn flertal ubestemt;noun plural indefinite;public limited company;public limited companies;;;;"
"1_aktieselskab;aktieselskab;aktieselskabet;;substantiv intetkøn ental bestemt;noun singular definite;public limited company;the public limited company;;;;"
"1_aktindsigt;aktindsigt;aktindsigt;;substantiv;noun;access to public documents;access to public documents;;;;"
"1_aktionær;aktionær;aktionær;;substantiv fælleskøn;noun;shareholder;shareholder;;;;"
