"1_A4-format;A4-format;A4-format;;substantiv intetkøn;noun;A4 format;A4 format;;;;"
"1_beholder;beholder;beholder;;substantiv fælleskøn;noun;case;case;;;;"
"1_beholder;beholder;beholderne;;substantiv fælleskøn flertal bestemt;noun plural definite;case;the cases;;;;"
"1_beholder;beholder;beholdere;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;case;cases;;;;"
"1_beholder;beholder;beholderen;;substantiv fælleskøn ental bestemt;noun singular definite;case;the case;;;;"
1_beholder;beholder;beholder;;substantiv;noun;container;container;;;;
"1_beholder;beholder;beholderne;;substantiv fælleskøn flertal bestemt;noun plural definite;container;the containers;;;;"
"1_beholder;beholder;beholdere;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;container;containers;;;;"
"1_beholder;beholder;beholderen;;substantiv fælleskøn ental bestemt;noun singular definite;container;the container;;;;"
1_beholder;beholder;beholder;;substantiv;noun;jug;jug;;;;
"1_beholder;beholder;beholderne;;substantiv fælleskøn flertal bestemt;noun plural definite;jug;the jugs;;;;"
"1_beholder;beholder;beholdere;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;jug;jugs;;;;"
"1_beholder;beholder;beholderen;;substantiv fælleskøn ental bestemt;noun singular definite;jug;the jug;;;;"
"1_behov;behov;behov;;substantiv intetkøn;noun;need;need;;Folk har en tendens til at undervurdere deres fremtidige behov.;People have a tendency to underestimate their future needs.;"
"1_behov;behov;behovene;;substantiv intetkøn flertal bestemt;noun plural definite;need;the needs;;Folk har en tendens til at undervurdere deres fremtidige behov.;People have a tendency to underestimate their future needs.;"
"1_behov;behov;behov;;substantiv intetkøn flertal ubestemt;noun plural indefinite;need;needs;;Folk har en tendens til at undervurdere deres fremtidige behov.;People have a tendency to underestimate their future needs.;"
"1_behov;behov;behovet;;substantiv intetkøn ental bestemt;noun singular definite;need;the need;;Folk har en tendens til at undervurdere deres fremtidige behov.;People have a tendency to underestimate their future needs.;"
"1_behøve;behøve;behøve;;verbum;verb;need;need;;Du behøver ikke ringe til mig.;You don't need to call me.;"
"1_behøve;behøve;behøve;;verbum;verb;need;need;;Du behøver ikke ringe til mig.;You don't need to call me.;"
"1_behøve;behøve;behøvede;;verbum datid;verb past tense;need;needed;;Du behøver ikke ringe til mig.;You don't need to call me.;"
"1_behøve;behøve;behøver;;verbum nutid;verb present 3rd person singular;need;needs;;Du behøver ikke ringe til mig.;You don't need to call me.;"
"1_behøve;behøve;behøver;;verbum nutid;verb present non 3rd person;need;need;;Du behøver ikke ringe til mig.;You don't need to call me.;"
1_behøve;behøve;behøve;;verbum;verb;require;require;;;;
1_behøve;behøve;behøve;;verbum;verb;require;require;;;;
"1_behøve;behøve;behøvede;;verbum datid;verb past tense;require;required;;;;"
"1_behøve;behøve;behøver;;verbum nutid;verb present 3rd person singular;require;requires;;;;"
"1_behøve;behøve;behøver;;verbum nutid;verb present non 3rd person;require;require;;;;"
1_behåret;behåret;behåret;;adjektiv;adjective;hairy;hairy;;;;
"1_behåret;behåret;behårede;;adjektiv flertal;adjective plural;hairy;hairy;;;;"
"1_behåret;behåret;behåret;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;hairy;hairy;;;;"
"1_behåret;behåret;behåret;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;hairy;hairy;;;;"
"1_behåret;behåret;behårede;;adjektiv ental bestemt;adjective singular definite;hairy;the hairy;;;;"
1_bekende;bekende;bekende;;verbum;verb;acknowledge;acknowledge;;;;
"1_bekende;bekende;bekendte;;verbum datid;verb past tense;acknowledge;acknowledged;;;;"
"1_bekende;bekende;bekender;;verbum nutid;verb present 3rd person singular;acknowledge;acknowledges;;;;"
"1_bekende;bekende;bekender;;verbum nutid;verb present non 3rd person;acknowledge;acknowledge;;;;"
1_bekende;bekende;bekende;;verbum;verb;admit;admit;;;;
"1_bekende;bekende;bekendte;;verbum datid;verb past tense;admit;admitted;;;;"
"1_bekende;bekende;bekender;;verbum nutid;verb present 3rd person singular;admit;admits;;;;"
"1_bekende;bekende;bekender;;verbum nutid;verb present non 3rd person;admit;admit;;;;"
1_bekende;bekende;bekende;;verbum;verb;confess;confess;;;;
"1_bekende;bekende;bekendte;;verbum datid;verb past tense;confess;confessed;;;;"
